Item,titulo1,titulo,descricao,empresa_localizacao1,empresa_localizacao,publicacao,,
1,Jovem Aprendiz (RH) - Campina1 vaga,Jovem Aprendiz (RH) - Campina1 vaga,"- Ações de Engajamento: Participar da organização dos eventos dentro da unidade do início ao fim, apoiando a HRBP / Supervisores no recebimento e entrega de brindes; Controle e Organização das fotos e todas as ações seguindo calendário anual; - Onboarding: Responsável pelo suporte à HRBP no onboarding do início ao fim, enviando ...
                                ","Frubana 
                            - Campinas - SP",Frubana - Campinas - SP,Publicado em 10/01/2024,,
2,"Supervisor de Loja
                            
-
												(Encarregado ou supervisor de loja)
                                      1 vaga","Supervisor de Loja - 												(Encarregado ou supervisor de loja) 1 vaga","Descrição das Atividades e Requisitos: ATENDER AOS CLIENTES Orientar clientes e resolver reclamações/conflitos Negociar preços e condições de pagamento Encaminhar e supervisionar os serviços de reparação, consertos e troca Pesquisar a satisfação dos clientes Realizar orçamentos ADMINISTRAR EQUIPE DE VENDAS, COMPRAS, REPAROS, CAI...
                                ","BRASIL E XAVIER ATIVIDADES DE PSICOLOGIA LTDA 
                            - Salvador - BA",BRASIL E XAVIER ATIVIDADES DE PSICOLOGIA LTDA - Salvador - BA,Publicado em 10/01/2024,,
3,"Auxiliar Contábil
                            
-
												(Assistente contábil)
                                      2 vag","Auxiliar Contábil - 												(Assistente contábil) 2 vag","Buscamos pessoas cursando Ciências Contábeis! Somos uma empresa com gestão inovadora, ágil e colaborativa buscando pessoas que agreguem e creçam junto conosco. Atribuições da Vaga : O candidato irá prestar apoio nas rotinas pertinentes a equipe. Trabalhar em estreita colaboração para compreender e garantir a precisão de todas as...
                                  ","SKZ SERVICOS LTDA. 
                            - São Paulo - S",SKZ SERVICOS LTDA. - São Paulo - S,Publicado em 10/01/2024,,
4,"Compradora Comprador Corporativo Pl.
                            
-
												(Comprador)
                                      1 vaga","Compradora Comprador Corporativo Pl. - 												(Comprador) 1 vaga","Atuará nas atividades internas e demais funções pertinentes ao cargo. Necessário conhecimento na área de atuação.
                                    Le","Crown 
                            - Cabreúva - S",Crown - Cabreúva - S,Publicado em 10/01/2024,,
5,"Mecânico Manutenção Automotivo II
                            
-
												(Mecânico de manutenção)
                                      ","Mecânico Manutenção Automotivo II - 												(Mecânico de manutenção) ","Sumário da vaga: Responsável pela execução de serviços de manutenção mecânica, preventiva ou corretiva de média complexidade, montando e desmontando, máquinas, veículos e equipamentos, reparando ou substituindo peças, visando seu perfeito funcionamento e prolongamento de sua vida útil. Requisitos indispensáveis: Ensino Médio com...
                              ","Usina Colombo 
                            - Palestina - SP",Usina Colombo - Palestina - SP,Publicado em 10/01/2024,,
6,"Motorista Lubrificador
                            
-
												(Motorista)
                                      1 vaga","Motorista Lubrificador - 												(Motorista) 1 vaga","Sumário da vaga: Responsável pelo abastecimento de veiculos e lubrificação das máquinas da empresa, visando garantir o continuo trabalho das frentes de trabalho no campo dentro dos padrões de qualidade e segurança, maximizando a disponibilidade dos equipamentos. Requisitos indispensáveis: Ensino Fundamental completo CNH D Curso ...
                                    L","Usina Colombo 
                            - Palestina - SP",Usina Colombo - Palestina - SP,Publicado em 10/01/2024,,
7,"Promotor de vendas
                            
-
												
                                      4 vagas","Promotor de vendas - 												 4 vagas","Prestamos serviços na área comercial e ofertamos linhas de créditos consignado para clientes pensionistas do INSS, públicos e privados.  Forma de contratação por MEI (microempreendedor individual), com ajuda de custo e comissionamento. Atuação externa, na porta da agência com um balcão adesivado autorizado pelo banco do Bra...
                                   ","GSD Serviços de Digitação 
                            - Diversas cida",GSD Serviços de Digitação - Diversas cida,Publicado em 10/01/2024,,
8,"Gerente de negócios
                            
-
												
                                      5 vaga","Gerente de negócios - 												 5 vaga","Somos uma empresa terceirizada, exclusiva do banco do Brasil. Prestamos serviços na área comercial ofertando linhas de créditos para clientes das agências do banco no modelo de atuação externa, na porta das agências tendo a parceria com as mesmas, com um balcão adesivado autorizado pelo banco do Brasil.  Também podemos faze...
                                    ","GSD Serviços de Digitação 
                            - Diversas cida",GSD Serviços de Digitação - Diversas cida,Publicado em 10/01/2024,,
9,"Estágio em Ensino Médio
                            
-
												
                                      1 va","Estágio em Ensino Médio - 												 1 va","Irá auxiliar nas atividades operacionais do departamento, separar documentos, conferir e preparar informações para atualização do banco de clientes.
                                    Leia","Integrar Rs 
                            - Porto Alegre - RS",Integrar Rs - Porto Alegre - RS,Publicado em 10/01/2024,,
10,"Técnico em Áudio e Vídeo
                            
-
												
                                      1 v","Técnico em Áudio e Vídeo - 												 1 v","Captação e gravação de imagem e som, na ambientação, operação de equipamentos, recursos, linguagem e tecnologia dentro dos padrões técnicos de meios de comunicação. Experiência em executar serviços e montagens de equipamentos de som, videos, antenas, amplificadores e etc. Montar aparelhos e seus equipamentos. Assegurar a transmi...
                               ","Ocktus Participações 
                            - São Paulo -",Ocktus Participações - São Paulo -,Publicado em 10/01/2024,,
11,"Jovem Aprendiz (RH) - Campinas
                            
-
												(Aprendiz)
                                      1 vaga","Jovem Aprendiz (RH) - Campinas - 												(Aprendiz) 1 vaga","- Ações de Engajamento: Participar da organização dos eventos dentro da unidade do início ao fim, apoiando a HRBP / Supervisores no recebimento e entrega de brindes; Controle e Organização das fotos e todas as ações seguindo calendário anual; - Onboarding: Responsável pelo suporte à HRBP no onboarding do início ao fim, enviando ...
                                ","Frubana 
                            - Campinas - SP",Frubana - Campinas - SP,Publicado em 10/01/2024,,
12,"Supervisor de Loja
                            
-
												(Encarregado ou supervisor de loja)
                                      1 vaga","Supervisor de Loja - 												(Encarregado ou supervisor de loja) 1 vaga","Descrição das Atividades e Requisitos: ATENDER AOS CLIENTES Orientar clientes e resolver reclamações/conflitos Negociar preços e condições de pagamento Encaminhar e supervisionar os serviços de reparação, consertos e troca Pesquisar a satisfação dos clientes Realizar orçamentos ADMINISTRAR EQUIPE DE VENDAS, COMPRAS, REPAROS, CAI...
                                ","BRASIL E XAVIER ATIVIDADES DE PSICOLOGIA LTDA 
                            - Salvador - BA",BRASIL E XAVIER ATIVIDADES DE PSICOLOGIA LTDA - Salvador - BA,Publicado em 10/01/2024,,
13,"Auxiliar Contábil
                            
-
												(Assistente contábil)
                                      2 vag","Auxiliar Contábil - 												(Assistente contábil) 2 vag","Buscamos pessoas cursando Ciências Contábeis! Somos uma empresa com gestão inovadora, ágil e colaborativa buscando pessoas que agreguem e creçam junto conosco. Atribuições da Vaga : O candidato irá prestar apoio nas rotinas pertinentes a equipe. Trabalhar em estreita colaboração para compreender e garantir a precisão de todas as...
                                  ","SKZ SERVICOS LTDA. 
                            - São Paulo - S",SKZ SERVICOS LTDA. - São Paulo - S,Publicado em 10/01/2024,,
